<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABC,20210709,11.6000,11.6000,11.2000,11.6000,14900,11.6000,11.6000,11.2000,11.6000,0,0,0
ABC,20210708,11.6000,11.9000,11.6000,11.8000,12000,11.6000,11.9000,11.6000,11.8000,0,0,0
ABC,20210707,11.7000,11.8000,11.4000,11.8000,14100,11.7000,11.8000,11.4000,11.8000,0,0,0
ABC,20210706,12.0000,12.2000,11.6000,11.7000,55900,12.0000,12.2000,11.6000,11.7000,0,0,0
ABC,20210705,12.3000,12.3000,12.3000,12.3000,11401,12.3000,12.3000,12.3000,12.3000,0,0,0
ABC,20210702,12.4000,12.4000,12.3000,12.3000,9710,12.4000,12.4000,12.3000,12.3000,0,0,0
ABC,20210701,12.2000,12.6000,12.1000,12.4000,17352,12.2000,12.6000,12.1000,12.4000,0,0,0
ABC,20210630,12.6000,12.6000,12.0000,12.2000,116447,12.6000,12.6000,12.0000,12.2000,0,700,0
ABC,20210629,12.9000,12.9000,12.5000,12.7000,16320,12.9000,12.9000,12.5000,12.7000,0,0,0
ABC,20210628,12.8000,13.0000,12.6000,12.8000,20301,12.8000,13.0000,12.6000,12.8000,0,0,0
ABC,20210625,13.0000,13.1000,12.7000,12.9000,15208,13.0000,13.1000,12.7000,12.9000,0,0,0
ABC,20210624,13.2000,13.2000,12.8000,13.0000,7600,13.2000,13.2000,12.8000,13.0000,0,0,0
ABC,20210623,13.4000,13.4000,13.0000,13.0000,7700,13.4000,13.4000,13.0000,13.0000,0,0,0
ABC,20210622,13.1000,13.3000,13.1000,13.2000,33920,13.1000,13.3000,13.1000,13.2000,0,0,0
ABC,20210621,13.4000,13.4000,13.0000,13.1000,16700,13.4000,13.4000,13.0000,13.1000,0,0,0
ABC,20210618,13.4000,13.5000,13.0000,13.3000,31555,13.4000,13.5000,13.0000,13.3000,0,0,0
ABC,20210617,13.0000,13.3000,12.9000,13.3000,18800,13.0000,13.3000,12.9000,13.3000,0,0,0
ABC,20210616,13.0000,13.2000,12.9000,13.2000,15920,13.0000,13.2000,12.9000,13.2000,0,0,0
ABC,20210615,13.0000,13.2000,12.8000,13.2000,6520,13.0000,13.2000,12.8000,13.2000,0,300,0
ABC,20210614,13.2000,13.2000,12.8000,12.9000,10600,13.2000,13.2000,12.8000,12.9000,0,0,0
ABC,20210611,13.5000,13.5000,13.0000,13.2000,21949,13.5000,13.5000,13.0000,13.2000,0,0,0
ABC,20210610,13.4000,13.5000,13.2000,13.5000,21142,13.4000,13.5000,13.2000,13.5000,0,0,0
ABC,20210609,13.3000,13.5000,13.2000,13.5000,18410,13.3000,13.5000,13.2000,13.5000,0,0,0
ABC,20210608,13.7000,13.8000,13.3000,13.3000,7100,13.7000,13.8000,13.3000,13.3000,0,0,0
ABC,20210607,13.9000,13.9000,13.5000,13.7000,16500,13.9000,13.9000,13.5000,13.7000,0,0,0
ABC,20210604,13.2000,14.0000,13.2000,13.9000,37931,13.2000,14.0000,13.2000,13.9000,0,0,0
ABC,20210603,13.0000,13.4000,12.8000,13.4000,36030,13.0000,13.4000,12.8000,13.4000,0,0,0
